0 length 1409;
0 note 74 100;
149 note 74 0;
164 note 74 100;
254 note 76 100;
314 note 74 0;
344 note 77 100;
374 note 76 0;
479 note 77 0;
524 note 72 100;
524 note 71 100;
569 note 71 0;
629 note 72 0;
719 note 71 100;
719 note 69 100;
809 note 71 0;
824 note 69 0;
884 note 69 100;
989 note 69 0;
1064 note 67 100;
1184 note 67 0;
1244 note 65 100;
1349 note 65 0;
