0 length 1150;
0 note 76 100;
33 note 72 100;
93 note 76 0;
143 note 64 100;
158 note 72 0;
221 note 60 100;
268 note 64 0;
288 note 71 100;
319 note 60 0;
379 note 71 0;
450 note 71 100;
529 note 71 0;
619 note 71 100;
623 note 74 100;
689 note 74 0;
693 note 71 0;
709 note 64 100;
732 note 60 100;
773 note 64 0;
792 note 60 0;
849 note 74 100;
863 note 71 100;
921 note 71 0;
937 note 64 100;
944 note 74 0;
953 note 74 100;
967 note 74 0;
975 note 60 100;
997 note 64 0;
1002 note 60 0;
