0 length 595;
0 note 69 100;
72 note 71 100;
92 note 69 0;
131 note 72 100;
142 note 71 0;
174 note 73 100;
175 note 74 100;
179 note 72 0;
188 note 73 0;
209 note 75 100;
217 note 76 100;
224 note 74 0;
233 note 75 0;
253 note 77 100;
267 note 76 0;
306 note 79 100;
315 note 77 0;
350 note 81 100;
360 note 79 0;
400 note 83 100;
416 note 81 0;
578 note 83 0;
