0 length 2451;
0 note 60 100;
330 note 60 0;
443 note 65 100;
593 note 65 0;
853 note 69 100;
1006 note 69 0;
1269 note 72 100;
1370 note 72 0;
1700 note 69 100;
1712 note 65 100;
1717 note 62 100;
1832 note 69 0;
1854 note 65 0;
1856 note 62 0;
2127 note 60 100;
2153 note 67 100;
2173 note 64 100;
2242 note 64 0;
2243 note 67 0;
2258 note 60 0;
