0 length 2540;
0 note 64 100;
244 note 72 100;
248 note 64 0;
356 note 62 100;
378 note 65 100;
421 note 72 0;
425 note 71 100;
547 note 71 0;
566 note 71 100;
587 note 65 100;
596 note 62 0;
616 note 65 0;
738 note 71 0;
805 note 65 0;
842 note 69 100;
890 note 76 100;
1078 note 69 0;
1079 note 64 100;
1090 note 76 0;
1215 note 72 100;
1324 note 72 100;
1328 note 64 0;
1381 note 72 0;
1409 note 65 100;
1421 note 62 100;
1448 note 62 0;
1501 note 72 0;
1505 note 71 100;
1588 note 65 0;
1627 note 71 0;
1648 note 69 100;
1667 note 65 100;
1885 note 65 0;
1922 note 69 100;
1946 note 69 0;
1960 note 65 100;
2158 note 69 0;
2159 note 64 100;
2212 note 65 0;
2285 note 76 100;
2404 note 72 100;
2408 note 64 0;
2432 note 76 0;
2540 note 72 0;
