0 length 1260;
0 note 77 100;
81 note 73 100;
122 note 77 0;
147 note 71 100;
179 note 73 0;
220 note 60 100;
227 note 71 0;
294 note 60 0;
304 note 71 100;
445 note 71 0;
461 note 60 100;
568 note 60 0;
612 note 71 100;
692 note 71 0;
697 note 60 100;
782 note 60 0;
878 note 60 100;
942 note 71 100;
948 note 60 0;
949 note 72 100;
1064 note 72 0;
1067 note 71 0;
1097 note 73 100;
1121 note 77 100;
1148 note 73 0;
1218 note 77 0;
