0 length 5639;
0 note 72 100;
11 note 76 100;
11 note 79 100;
161 note 72 0;
162 note 76 0;
170 note 79 0;
575 note 74 100;
576 note 77 100;
581 note 81 100;
740 note 81 0;
741 note 77 0;
749 note 74 0;
1408 note 76 100;
1409 note 79 100;
1413 note 83 100;
1566 note 76 0;
1567 note 83 0;
1571 note 79 0;
2042 note 83 100;
2055 note 76 100;
2060 note 81 100;
2107 note 79 100;
2122 note 81 0;
2269 note 79 0;
2273 note 83 0;
2284 note 76 0;
2860 note 74 100;
2865 note 77 100;
2884 note 81 100;
2995 knob3 0.256109;
3006 note 74 0;
3011 note 77 0;
3020 note 81 0;
3127 note 83 100;
3129 note 79 100;
3132 note 76 100;
3249 note 83 0;
3254 note 79 0;
3290 note 76 0;
3401 note 74 100;
3405 note 81 100;
3410 note 77 100;
3518 note 74 0;
3528 note 81 0;
3533 note 77 0;
3620 note 76 100;
3627 note 83 100;
3629 note 79 100;
3757 note 79 0;
3765 note 83 0;
3776 note 76 0;
3838 note 74 100;
3839 note 81 100;
3852 note 77 100;
3968 note 81 0;
3973 note 74 0;
3983 note 77 0;
4077 note 72 100;
4089 note 76 100;
4096 note 79 100;
4214 note 72 0;
4222 note 79 0;
4227 note 76 0;
4287 note 72 100;
4288 note 76 100;
4293 note 79 100;
4468 note 76 0;
4475 note 72 0;
4476 note 79 0;
4544 note 74 100;
4549 note 77 100;
4550 note 81 100;
4661 note 74 0;
4665 note 81 0;
4669 note 77 0;
4728 note 72 100;
4734 note 76 100;
4749 note 79 100;
4846 note 76 0;
4851 note 76 100;
4855 note 76 0;
4856 note 79 0;
4863 note 72 0;
4913 note 74 100;
4917 note 71 100;
4940 note 77 100;
5143 note 74 0;
5147 note 77 0;
5149 note 71 0;
