0 length 3867;
0 note 81 100;
21 note 71 100;
25 note 74 100;
33 note 77 100;
195 note 71 0;
197 note 74 0;
213 note 77 0;
275 note 81 0;
299 note 65 100;
313 note 60 100;
333 note 69 100;
555 note 69 0;
615 note 65 0;
637 note 60 0;
1919 note 68 100;
1947 note 65 100;
1999 note 71 100;
2137 note 68 0;
2195 note 65 0;
2205 note 71 0;
2251 note 64 100;
2275 note 60 100;
2303 note 63 100;
2527 note 64 0;
2545 note 60 0;
2587 note 63 0;
3205 note 69 100;
3335 note 67 100;
3449 note 69 0;
3481 note 71 100;
3533 note 71 0;
3557 note 72 100;
3607 note 67 0;
3611 note 74 100;
3621 note 72 0;
3731 note 76 100;
3745 note 74 0;
3785 note 76 0;
3815 note 82 100;
