0 length 2987;
0 note 71 100;
95 note 71 0;
102 note 60 100;
188 note 65 100;
221 note 60 0;
226 note 64 100;
272 note 64 0;
283 note 65 0;
328 note 69 100;
455 note 69 0;
852 note 71 100;
935 note 60 100;
966 note 71 0;
1037 note 65 100;
1068 note 60 0;
1159 note 65 0;
1162 note 69 100;
1298 note 69 0;
1743 note 71 100;
1859 note 60 100;
1943 note 71 0;
1958 note 65 100;
1999 note 60 0;
2063 note 65 0;
2066 note 69 100;
2170 note 65 100;
2195 note 69 0;
2292 note 60 100;
2319 note 65 0;
2425 note 74 100;
2450 note 60 0;
2614 note 74 0;
2668 note 74 100;
2829 note 74 0;
2870 note 74 100;
