0 length 2210;
0 note 67 100;
797 note 60 100;
819 note 67 0;
919 note 65 100;
1032 note 69 100;
1197 note 79 100;
1255 note 76 100;
1261 note 72 100;
1381 note 72 0;
1391 note 76 0;
1407 note 69 0;
1418 note 60 0;
1422 note 79 0;
1424 note 65 0;
1428 note 69 100;
1431 note 79 100;
1447 note 79 0;
1453 note 70 100;
1487 note 69 0;
2163 note 70 0;
