0 length 1431;
0 note 74 100;
83 note 72 100;
107 note 74 0;
155 note 72 0;
163 note 60 100;
263 note 64 100;
343 note 60 0;
381 note 64 0;
383 note 71 100;
484 note 64 100;
493 note 71 0;
626 note 64 0;
653 note 71 100;
759 note 71 0;
785 note 65 100;
885 note 69 100;
886 note 65 0;
1037 note 71 100;
1044 note 69 0;
1086 note 72 100;
1101 note 71 0;
1251 note 74 100;
1255 note 72 0;
1283 note 76 100;
1287 note 74 0;
1310 note 77 100;
1314 note 76 0;
1340 note 79 100;
1342 note 77 0;
1372 note 81 100;
1377 note 79 0;
