0 length 2423;
0 note 65 100;
17 note 77 100;
63 note 65 0;
73 note 77 0;
128 note 65 100;
139 note 77 100;
259 note 65 0;
267 note 77 0;
413 note 77 100;
419 note 65 100;
558 note 65 0;
566 note 77 0;
703 note 77 100;
704 note 65 100;
872 note 65 0;
878 note 77 0;
998 note 77 100;
1006 note 65 100;
1193 note 65 0;
1199 note 77 0;
1332 note 65 100;
1336 note 77 100;
1546 note 65 0;
1554 note 77 0;
1685 note 67 100;
1696 note 79 100;
1738 note 67 0;
1750 note 79 0;
1808 note 67 100;
1828 note 79 100;
1886 note 67 0;
1896 note 79 0;
1990 note 64 100;
1997 note 77 100;
2003 note 76 100;
2173 note 77 0;
2178 note 76 0;
2195 note 64 0;
