0 length 1409;
0 note 72 100;
14 note 60 100;
130 note 72 0;
149 note 67 100;
149 note 60 0;
224 note 67 0;
325 note 72 100;
329 note 61 100;
477 note 76 100;
479 note 65 100;
479 note 61 0;
505 note 72 0;
569 note 65 0;
582 note 76 0;
657 note 77 100;
659 note 62 100;
700 note 72 100;
747 note 77 0;
794 note 62 0;
809 note 64 100;
837 note 79 100;
865 note 72 0;
869 note 64 0;
912 note 79 0;
974 note 63 100;
1017 note 77 100;
1075 note 72 100;
1077 note 77 0;
1109 note 63 0;
1139 note 63 100;
1139 note 64 100;
1182 note 76 100;
1199 note 64 0;
1229 note 63 0;
1255 note 72 0;
1289 note 65 100;
1332 note 76 0;
1334 note 65 0;
