0 length 1334;
0 note 71 100;
67 note 71 0;
92 note 60 100;
141 note 60 0;
175 note 67 100;
217 note 67 0;
230 note 60 100;
297 note 60 0;
319 note 67 100;
391 note 67 0;
482 note 69 100;
553 note 69 0;
649 note 65 100;
730 note 65 0;
811 note 69 100;
841 note 67 100;
871 note 69 0;
884 note 67 0;
968 note 65 100;
1030 note 65 0;
1151 note 69 100;
1205 note 71 100;
1211 note 69 0;
1278 note 72 100;
1294 note 71 0;
1320 note 72 0;
